house_age,square_feet,num_bedrooms,num_bathrooms,garage_size,neighborhood_quality,school_rating,distance_to_downtown,has_pool,has_garden,year_built,price_in_thousands
15,1800,3,2,1,7,8,12.5,Yes,No,2008,245.5
8,2200,4,2.5,2,8,9,8.2,Yes,Yes,2015,325.8
22,1600,3,1,1,6,7,15.3,No,No,2001,189.2
5,2800,5,3,2,9,10,5.8,Yes,Yes,2018,456.3
12,2400,4,2,2,8,8,10.1,Yes,No,2011,368.7
18,2000,3,2,1,7,7,13.7,No,Yes,2005,278.9
3,3200,6,3.5,3,10,10,3.2,Yes,Yes,2020,589.4
25,1400,2,1,0,5,6,18.9,No,No,1998,156.8
10,2600,4,2.5,2,8,9,7.5,Yes,Yes,2013,412.6
14,2100,3,2,1,7,8,11.8,No,No,2009,298.4
20,1700,3,1.5,1,6,7,14.6,No,No,2003,195.7
7,3000,5,3,2,9,9,6.3,Yes,Yes,2016,489.2
16,2300,4,2,2,8,8,9.7,Yes,No,2010,345.8
23,1500,2,1,0,6,6,16.8,No,No,2000,178.3
11,2500,4,2.5,2,8,8,8.9,Yes,Yes,2012,389.5
19,1900,3,2,1,7,7,12.9,No,No,2006,268.4
4,3100,5,3,2,9,9,4.5,Yes,Yes,2017,523.7
21,1750,3,1.5,1,6,7,13.5,No,No,2004,205.6
9,2700,4,3,2,8,9,7.1,Yes,Yes,2014,435.9
13,2200,3,2,1,7,8,10.8,Yes,No,2010,312.3
26,1300,2,1,0,5,5,19.7,No,No,1997,145.2
6,2900,5,3,2,9,9,5.2,Yes,Yes,2015,478.6
17,2150,3,2,1,7,8,11.2,No,No,2008,289.7
24,1550,2,1,0,6,6,15.9,No,No,2002,165.8
12,2550,4,2.5,2,8,8,8.3,Yes,Yes,2013,398.4
15,2050,3,2,1,7,7,12.1,No,No,2009,275.6
8,2750,4,3,2,8,9,6.8,Yes,Yes,2014,456.2
22,1650,3,1,1,6,7,14.2,No,No,2003,187.9
5,3300,6,3.5,3,10,10,2.8,Yes,Yes,2019,612.8
18,1950,3,2,1,7,7,13.1,No,No,2007,262.3
11,2650,4,2.5,2,8,8,7.9,Yes,Yes,2012,418.7
20,1800,3,2,1,7,8,11.5,No,No,2005,258.4
14,2250,4,2,1,7,8,10.3,Yes,No,2010,332.6
23,1450,2,1,0,5,6,17.2,No,No,2001,152.7
9,2850,5,3,2,9,9,6.5,Yes,Yes,2013,467.9
